full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Robert B. Aderholt,1965-07-22,07-22,M,rep,1997-01-07,1999-01-03,AL,,4.0,Republican,,Cancer,31.0,31.0,33.0,33.0,726.0,1.0,12.0
Tammy  Baldwin,1962-02-11,02-11,F,rep,1999-01-06,2001-01-03,WI,,2.0,Democrat,,Aquarius,36.0,36.0,38.0,38.0,728.0,1.0,12.0
Michael F. Bennet,1964-11-28,11-28,M,sen,2009-01-22,2011-01-03,CO,3.0,,Democrat,appointment,Sagittarius,44.0,44.0,46.0,46.0,711.0,1.0,11.0
Gus M. Bilirakis,1963-02-08,02-08,M,rep,2007-01-04,2009-01-03,FL,,9.0,Republican,,Aquarius,43.0,43.0,45.0,45.0,730.0,2.0,0.0
Sanford D. Bishop Jr.,1947-02-04,02-04,M,rep,1993-01-05,1995-01-03,GA,,2.0,Democrat,,Aquarius,45.0,45.0,47.0,47.0,728.0,1.0,12.0
Marsha W. Blackburn,1952-06-06,06-06,F,rep,2003-01-07,2005-01-03,TN,,7.0,Republican,,Gemini,50.0,50.0,52.0,52.0,727.0,1.0,12.0
Richard  Blumenthal,1946-02-13,02-13,M,sen,2011-01-05,2017-01-03,CT,3.0,,Democrat,,Aquarius,64.0,64.0,70.0,70.0,2190.0,6.0,0.0
John  Boozman,1950-12-10,12-10,M,rep,2001-11-29,2003-01-03,AR,,3.0,Republican,,Sagittarius,51.0,51.0,52.0,52.0,400.0,1.0,1.0
Vern  Buchanan,1951-05-08,05-08,M,rep,2007-01-04,2009-01-03,FL,,13.0,Republican,,Taurus,55.0,55.0,57.0,57.0,730.0,2.0,0.0
Ken S. Calvert,1953-06-08,06-08,M,rep,1993-01-05,1995-01-03,CA,,43.0,Republican,,Gemini,39.0,39.0,41.0,41.0,728.0,1.0,12.0
Shelley Moore Capito,1953-11-26,11-26,F,rep,2001-01-03,2003-01-03,WV,,2.0,Republican,,Sagittarius,47.0,47.0,49.0,49.0,730.0,2.0,0.0
André  Carson,1974-10-16,10-16,M,rep,2008-03-13,2009-01-03,IN,,7.0,Democrat,,Libra,33.0,33.0,34.0,34.0,296.0,0.0,9.0
John R. Carter,1941-11-06,11-06,M,rep,2003-01-07,2005-01-03,TX,,31.0,Republican,,Scorpio,61.0,61.0,63.0,63.0,727.0,1.0,12.0
Bill  Cassidy,1957-09-28,09-28,M,rep,2009-01-06,2011-01-03,LA,,6.0,Republican,,Libra,51.0,51.0,53.0,53.0,727.0,1.0,12.0
Kathy  Castor,1966-08-20,08-20,F,rep,2007-01-04,2009-01-03,FL,,11.0,Democrat,,Leo,40.0,40.0,42.0,42.0,730.0,2.0,0.0
Judy M. Chu,1953-07-07,07-07,F,rep,2009-07-16,2011-01-03,CA,,32.0,Democrat,,Cancer,56.0,56.0,57.0,57.0,536.0,1.0,5.0
Yvette D. Clarke,1964-11-21,11-21,F,rep,2007-01-04,2009-01-03,NY,,11.0,Democrat,,Scorpio,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Emanuel  Cleaver II,1944-10-26,10-26,M,rep,2005-01-04,2007-01-03,MO,,5.0,Democrat,,Scorpio,60.0,60.0,62.0,62.0,729.0,1.0,12.0
James 'Jim' E. Clyburn,1940-07-21,07-21,M,rep,1993-01-05,1995-01-03,SC,,6.0,Democrat,,Cancer,52.0,52.0,54.0,54.0,728.0,1.0,12.0
Steve  Cohen,1949-05-24,05-24,M,rep,2007-01-04,2009-01-03,TN,,9.0,Democrat,,Gemini,57.0,57.0,59.0,59.0,730.0,2.0,0.0
Tom  Cole,1949-04-28,04-28,M,rep,2003-01-07,2005-01-03,OK,,4.0,Republican,,Taurus,53.0,53.0,55.0,55.0,727.0,1.0,12.0
Gerald E. Connolly,1950-03-30,03-30,M,rep,2009-01-06,2011-01-03,VA,,11.0,Democrat,,Aries,58.0,58.0,60.0,60.0,727.0,1.0,12.0
Jim  Costa,1952-04-13,04-13,M,rep,2005-01-04,2007-01-03,CA,,20.0,Democrat,,Aries,52.0,52.0,54.0,54.0,729.0,1.0,12.0
Joe  Courtney,1953-04-06,04-06,M,rep,2007-01-04,2009-01-03,CT,,2.0,Democrat,,Aries,53.0,53.0,55.0,55.0,730.0,2.0,0.0
Michael 'Mike' D. Crapo,1951-05-20,05-20,M,rep,1993-01-05,1995-01-03,ID,,2.0,Republican,,Taurus,41.0,41.0,43.0,43.0,728.0,1.0,12.0
Eric 'Rick' A. Crawford,1966-01-22,01-22,M,rep,2011-01-05,2013-01-03,AR,,1.0,Republican,,Aquarius,44.0,44.0,46.0,46.0,729.0,1.0,12.0
Henry  Cuellar,1955-09-19,09-19,M,rep,2005-01-04,2007-01-03,TX,,28.0,Democrat,,Virgo,49.0,49.0,51.0,51.0,729.0,1.0,12.0
Danny K. Davis,1941-09-06,09-06,M,rep,1997-01-07,1999-01-03,IL,,7.0,Democrat,,Virgo,55.0,55.0,57.0,57.0,726.0,1.0,12.0
Diana L. DeGette,1957-07-29,07-29,F,rep,1997-01-07,1999-01-03,CO,,1.0,Democrat,,Leo,39.0,39.0,41.0,41.0,726.0,1.0,12.0
Rosa L. DeLauro,1943-03-02,03-02,F,rep,1991-01-03,1993-01-03,CT,,3.0,Democrat,,Pisces,47.0,47.0,49.0,49.0,731.0,2.0,0.0
Scott  DesJarlais,1964-02-21,02-21,M,rep,2011-01-05,2013-01-03,TN,,4.0,Republican,,Pisces,46.0,46.0,48.0,48.0,729.0,1.0,12.0
Mario  Diaz-Balart,1961-09-25,09-25,M,rep,2003-01-07,2005-01-03,FL,,25.0,Republican,,Libra,41.0,41.0,43.0,43.0,727.0,1.0,12.0
Lloyd A. Doggett,1946-10-06,10-06,M,rep,1995-01-04,1997-01-03,TX,,10.0,Democrat,,Libra,48.0,48.0,50.0,50.0,730.0,2.0,0.0
Charles 'Chuck' J. Fleischmann,1962-10-11,10-11,M,rep,2011-01-05,2013-01-03,TN,,3.0,Republican,,Libra,48.0,48.0,50.0,50.0,729.0,1.0,12.0
Virginia  Foxx,1943-06-29,06-29,F,rep,2005-01-04,2007-01-03,NC,,5.0,Republican,,Cancer,61.0,61.0,63.0,63.0,729.0,1.0,12.0
John  Garamendi,1945-01-24,01-24,M,rep,2009-11-03,2011-01-03,CA,,10.0,Democrat,,Aquarius,64.0,64.0,65.0,65.0,426.0,1.0,2.0
Paul A. Gosar,1958-11-22,11-22,M,rep,2011-01-05,2013-01-03,AZ,,1.0,Republican,,Sagittarius,52.0,52.0,54.0,54.0,729.0,1.0,12.0
Charles 'Chuck' E. Grassley,1933-09-17,09-17,M,rep,1975-01-14,1977-01-03,IA,,3.0,Republican,,Virgo,41.0,41.0,43.0,43.0,720.0,1.0,11.0
Sam B. Graves,1963-11-07,11-07,M,rep,2001-01-03,2003-01-03,MO,,6.0,Republican,,Scorpio,37.0,37.0,39.0,39.0,730.0,2.0,0.0
Al  Green,1947-09-01,09-01,M,rep,2005-01-04,2007-01-03,TX,,9.0,Democrat,,Virgo,57.0,57.0,59.0,59.0,729.0,1.0,12.0
H. Morgan Griffith,1958-03-15,03-15,M,rep,2011-01-05,2013-01-03,VA,,9.0,Republican,,Pisces,52.0,52.0,54.0,54.0,729.0,1.0,12.0
Brett  Guthrie,1964-02-18,02-18,M,rep,2009-01-06,2011-01-03,KY,,2.0,Republican,,Aquarius,44.0,44.0,46.0,46.0,727.0,1.0,12.0
Andy  Harris,1957-01-25,01-25,M,rep,2011-01-05,2013-01-03,MD,,1.0,Republican,,Aquarius,53.0,53.0,55.0,55.0,729.0,1.0,12.0
Martin  Heinrich,1971-10-17,10-17,M,rep,2009-01-06,2011-01-03,NM,,1.0,Democrat,,Libra,37.0,37.0,39.0,39.0,727.0,1.0,12.0
James 'Jim' A. Himes,1966-07-05,07-05,M,rep,2009-01-06,2011-01-03,CT,,4.0,Democrat,,Cancer,42.0,42.0,44.0,44.0,727.0,1.0,12.0
Mazie K. Hirono,1947-11-03,11-03,F,rep,2007-01-04,2009-01-03,HI,,2.0,Democrat,,Scorpio,59.0,59.0,61.0,61.0,730.0,2.0,0.0
John  Hoeven,1957-03-13,03-13,M,sen,2011-01-05,2017-01-03,ND,3.0,,Republican,,Pisces,53.0,53.0,59.0,59.0,2190.0,6.0,0.0
Steny H. Hoyer,1939-06-14,06-14,M,rep,1981-01-05,1983-01-03,MD,,5.0,Democrat,,Gemini,41.0,41.0,43.0,43.0,728.0,1.0,12.0
Bill  Huizenga,1969-01-31,01-31,M,rep,2011-01-05,2013-01-03,MI,,2.0,Republican,,Aquarius,41.0,41.0,43.0,43.0,729.0,1.0,12.0
Henry 'Hank' C. Johnson Jr.,1954-10-02,10-02,M,rep,2007-01-04,2009-01-03,GA,,4.0,Democrat,,Libra,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Ron  Johnson,1955-04-08,04-08,M,sen,2011-01-05,2017-01-03,WI,3.0,,Republican,,Aries,55.0,55.0,61.0,61.0,2190.0,6.0,0.0
Jim  Jordan,1964-02-17,02-17,M,rep,2007-01-04,2009-01-03,OH,,4.0,Republican,,Aquarius,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Marcy  Kaptur,1946-06-17,06-17,F,rep,1983-01-03,1985-01-03,OH,,9.0,Democrat,,Gemini,36.0,36.0,38.0,38.0,731.0,2.0,0.0
William R. Keating,1952-09-06,09-06,M,rep,2011-01-05,2013-01-03,MA,,10.0,Democrat,,Virgo,58.0,58.0,60.0,60.0,729.0,1.0,12.0
Mike  Kelly,1948-05-10,05-10,M,rep,2011-01-05,2013-01-03,PA,,3.0,Republican,,Taurus,62.0,62.0,64.0,64.0,729.0,1.0,12.0
James  Lankford,1968-03-04,03-04,M,rep,2011-01-05,2013-01-03,OK,,5.0,Republican,,Pisces,42.0,42.0,44.0,44.0,729.0,1.0,12.0
Rick  Larsen,1965-06-15,06-15,M,rep,2001-01-03,2003-01-03,WA,,2.0,Democrat,,Gemini,35.0,35.0,37.0,37.0,730.0,2.0,0.0
John B. Larson,1948-07-22,07-22,M,rep,1999-01-06,2001-01-03,CT,,1.0,Democrat,,Cancer,50.0,50.0,52.0,52.0,728.0,1.0,12.0
Robert E. Latta,1956-04-18,04-18,M,rep,2007-12-13,2009-01-03,OH,,5.0,Republican,,Aries,51.0,51.0,52.0,52.0,387.0,1.0,0.0
Mike  Lee,1971-06-04,06-04,M,sen,2011-01-05,2017-01-03,UT,3.0,,Republican,,Gemini,39.0,39.0,45.0,45.0,2190.0,6.0,0.0
Zoe  Lofgren,1947-12-21,12-21,F,rep,1995-01-04,1997-01-03,CA,,16.0,Democrat,,Sagittarius,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Frank D. Lucas,1960-01-06,01-06,M,rep,1993-05-10,1995-01-03,OK,,6.0,Republican,,Capricorn,33.0,33.0,35.0,35.0,603.0,1.0,7.0
Ben Ray Luján,1972-06-07,06-07,M,rep,2009-01-06,2011-01-03,NM,,3.0,Democrat,,Gemini,36.0,36.0,38.0,38.0,727.0,1.0,12.0
Stephen F. Lynch,1955-03-31,03-31,M,rep,2001-10-23,2003-01-03,MA,,9.0,Democrat,,Aries,46.0,46.0,47.0,47.0,437.0,1.0,2.0
Edward 'Ed' J. Markey,1946-07-11,07-11,M,rep,1975-01-14,1977-01-03,MA,,7.0,Democrat,,Cancer,28.0,28.0,30.0,30.0,720.0,1.0,11.0
Doris O. Matsui,1944-09-25,09-25,F,rep,2005-03-10,2007-01-03,CA,,5.0,Democrat,,Libra,60.0,60.0,62.0,62.0,664.0,1.0,9.0
Michael T. McCaul,1962-01-14,01-14,M,rep,2005-01-04,2007-01-03,TX,,10.0,Republican,,Capricorn,43.0,43.0,45.0,45.0,729.0,1.0,12.0
Tom  McClintock,1956-07-10,07-10,M,rep,2009-01-06,2011-01-03,CA,,4.0,Republican,,Cancer,52.0,52.0,54.0,54.0,727.0,1.0,12.0
Betty Louise McCollum,1954-07-12,07-12,F,rep,2001-01-03,2003-01-03,MN,,4.0,Democrat,,Cancer,46.0,46.0,48.0,48.0,730.0,2.0,0.0
James 'Jim' P. McGovern,1959-11-20,11-20,M,rep,1997-01-07,1999-01-03,MA,,3.0,Democrat,,Scorpio,37.0,37.0,39.0,39.0,726.0,1.0,12.0
Gregory W. Meeks,1953-09-25,09-25,M,rep,1997-01-07,1999-01-03,NY,,6.0,Democrat,,Libra,43.0,43.0,45.0,45.0,726.0,1.0,12.0
Gwen  Moore,1951-04-18,04-18,F,rep,2005-01-04,2007-01-03,WI,,4.0,Democrat,,Aries,53.0,53.0,55.0,55.0,729.0,1.0,12.0
Jerry  Moran,1954-05-29,05-29,M,rep,1997-01-07,1999-01-03,KS,,1.0,Republican,,Gemini,42.0,42.0,44.0,44.0,726.0,1.0,12.0
Lisa A. Murkowski,1957-05-22,05-22,F,sen,2003-01-07,2005-01-03,AK,3.0,,Republican,appointment,Gemini,45.0,45.0,47.0,47.0,727.0,1.0,12.0
Christopher S. Murphy,1973-08-03,08-03,M,rep,2007-01-04,2009-01-03,CT,,5.0,Democrat,,Leo,33.0,33.0,35.0,35.0,730.0,2.0,0.0
Patty  Murray,1950-10-11,10-11,F,sen,1993-01-05,1999-01-03,WA,3.0,,Democrat,,Libra,42.0,42.0,48.0,48.0,2189.0,5.0,12.0
Jerrold L. Nadler,1947-06-13,06-13,M,rep,1992-11-03,1993-01-03,NY,,17.0,Democrat,,Gemini,45.0,45.0,45.0,45.0,61.0,0.0,2.0
Richard E. Neal,1949-02-14,02-14,M,rep,1989-01-03,1991-01-03,MA,,2.0,Democrat,,Aquarius,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Eleanor Holmes Norton,1937-06-13,06-13,F,rep,1991-01-03,1993-01-03,DC,,0.0,Democrat,,Gemini,53.0,53.0,55.0,55.0,731.0,2.0,0.0
Frank J. Pallone Jr.,1951-10-30,10-30,M,rep,1987-01-06,1989-01-03,NJ,,6.0,Democrat,,Scorpio,35.0,35.0,37.0,37.0,728.0,1.0,12.0
Rand  Paul,1963-01-07,01-07,M,sen,2011-01-05,2017-01-03,KY,3.0,,Republican,,Capricorn,48.0,48.0,54.0,54.0,2190.0,6.0,0.0
Nancy  Pelosi,1940-03-26,03-26,F,rep,1987-01-06,1989-01-03,CA,,5.0,Democrat,,Aries,46.0,46.0,48.0,48.0,728.0,1.0,12.0
Gary C. Peters,1958-12-01,12-01,M,rep,2009-01-06,2011-01-03,MI,,9.0,Democrat,,Sagittarius,50.0,50.0,52.0,52.0,727.0,1.0,12.0
Chellie  Pingree,1955-04-02,04-02,F,rep,2009-01-06,2011-01-03,ME,,1.0,Democrat,,Aries,53.0,53.0,55.0,55.0,727.0,1.0,12.0
Mike  Quigley,1958-10-17,10-17,M,rep,2009-04-07,2011-01-03,IL,,5.0,Democrat,,Libra,50.0,50.0,52.0,52.0,636.0,1.0,9.0
Harold 'Hal'  Rogers,1937-12-31,12-31,M,rep,1981-01-05,1983-01-03,KY,,5.0,Republican,,Capricorn,43.0,43.0,45.0,45.0,728.0,1.0,12.0
Mike  Rogers,1958-07-16,07-16,M,rep,2003-01-07,2005-01-03,AL,,3.0,Republican,,Cancer,44.0,44.0,46.0,46.0,727.0,1.0,12.0
Steve Joseph Scalise,1965-10-06,10-06,M,rep,2008-05-07,2009-01-03,LA,,1.0,Republican,,Libra,42.0,42.0,43.0,43.0,241.0,0.0,8.0
Janice 'Jan' D. Schakowsky,1944-05-26,05-26,F,rep,1999-01-06,2001-01-03,IL,,9.0,Democrat,,Gemini,54.0,54.0,56.0,56.0,728.0,1.0,12.0
Adam B. Schiff,1960-06-22,06-22,M,rep,2001-01-03,2003-01-03,CA,,27.0,Democrat,,Cancer,40.0,40.0,42.0,42.0,730.0,2.0,0.0
Charles 'Chuck' E. Schumer,1950-11-23,11-23,M,rep,1981-01-05,1983-01-03,NY,,16.0,Democrat,,Sagittarius,30.0,30.0,32.0,32.0,728.0,1.0,12.0
David  Schweikert,1962-03-03,03-03,M,rep,2011-01-05,2013-01-03,AZ,,5.0,Republican,,Pisces,48.0,48.0,50.0,50.0,729.0,1.0,12.0
Austin  Scott,1969-12-10,12-10,M,rep,2011-01-05,2013-01-03,GA,,8.0,Republican,,Sagittarius,41.0,41.0,43.0,43.0,729.0,1.0,12.0
David  Scott,1945-06-27,06-27,M,rep,2003-01-07,2005-01-03,GA,,13.0,Democrat,,Cancer,57.0,57.0,59.0,59.0,727.0,1.0,12.0
Robert 'Bobby' C. Scott,1947-04-30,04-30,M,rep,1993-01-05,1995-01-03,VA,,3.0,Democrat,,Taurus,45.0,45.0,47.0,47.0,728.0,1.0,12.0
Tim  Scott,1965-09-19,09-19,M,rep,2011-01-05,2013-01-02,SC,,1.0,Republican,,Virgo,45.0,45.0,47.0,47.0,728.0,1.0,12.0
Terri A. Sewell,1965-01-01,01-01,F,rep,2011-01-05,2013-01-03,AL,,7.0,Democrat,,Capricorn,46.0,46.0,48.0,48.0,729.0,1.0,12.0
Brad J. Sherman,1954-10-24,10-24,M,rep,1997-01-07,1999-01-03,CA,,24.0,Democrat,,Scorpio,42.0,42.0,44.0,44.0,726.0,1.0,12.0
Michael 'Mike' K. Simpson,1950-09-08,09-08,M,rep,1999-01-06,2001-01-03,ID,,2.0,Republican,,Virgo,48.0,48.0,50.0,50.0,728.0,1.0,12.0
Adam  Smith,1965-06-15,06-15,M,rep,1997-01-07,1999-01-03,WA,,9.0,Democrat,,Gemini,31.0,31.0,33.0,33.0,726.0,1.0,12.0
Adrian  Smith,1970-12-19,12-19,M,rep,2007-01-04,2009-01-03,NE,,3.0,Republican,,Sagittarius,36.0,36.0,38.0,38.0,730.0,2.0,0.0
Christopher 'Chris' H. Smith,1953-03-04,03-04,M,rep,1981-01-05,1983-01-03,NJ,,4.0,Republican,,Pisces,27.0,27.0,29.0,29.0,728.0,1.0,12.0
Linda T. Sánchez,1969-01-28,01-28,F,rep,2003-01-07,2005-01-03,CA,,39.0,Democrat,,Aquarius,33.0,33.0,35.0,35.0,727.0,1.0,12.0
Bennie G. Thompson,1948-01-28,01-28,M,rep,1993-04-13,1995-01-03,MS,,2.0,Democrat,,Aquarius,45.0,45.0,46.0,46.0,630.0,1.0,8.0
Mike Michael Thompson,1951-01-24,01-24,M,rep,1999-01-06,2001-01-03,CA,,1.0,Democrat,,Aquarius,47.0,47.0,49.0,49.0,728.0,1.0,12.0
Glenn  Thompson,1959-07-27,07-27,M,rep,2009-01-06,2011-01-03,PA,,5.0,Republican,,Leo,49.0,49.0,51.0,51.0,727.0,1.0,12.0
John  Thune,1961-01-07,01-07,M,rep,1997-01-07,1999-01-03,SD,,0.0,Republican,,Capricorn,36.0,36.0,38.0,38.0,726.0,1.0,12.0
Paul  Tonko,1949-06-18,06-18,M,rep,2009-01-06,2011-01-03,NY,,21.0,Democrat,,Gemini,59.0,59.0,61.0,61.0,727.0,1.0,12.0
Michael R. Turner,1960-01-11,01-11,M,rep,2003-01-07,2005-01-03,OH,,3.0,Republican,,Capricorn,43.0,43.0,45.0,45.0,727.0,1.0,12.0
Chris  Van Hollen,1959-01-10,01-10,M,rep,2003-01-07,2005-01-03,MD,,8.0,Democrat,,Capricorn,44.0,44.0,46.0,46.0,727.0,1.0,12.0
Nydia M. Velázquez,1953-03-28,03-28,F,rep,1993-01-05,1995-01-03,NY,,12.0,Democrat,,Aries,39.0,39.0,41.0,41.0,728.0,1.0,12.0
Tim  Walberg,1951-04-12,04-12,M,rep,2007-01-04,2009-01-03,MI,,7.0,Republican,,Aries,55.0,55.0,57.0,57.0,730.0,2.0,0.0
Debbie  Wasserman Schultz,1966-09-27,09-27,F,rep,2005-01-04,2007-01-03,FL,,20.0,Democrat,,Libra,38.0,38.0,40.0,40.0,729.0,1.0,12.0
Maxine  Waters,1938-08-15,08-15,F,rep,1991-01-03,1993-01-03,CA,,29.0,Democrat,,Leo,52.0,52.0,54.0,54.0,731.0,2.0,0.0
Daniel  Webster,1949-04-27,04-27,M,rep,2011-01-05,2013-01-03,FL,,8.0,Republican,,Taurus,61.0,61.0,63.0,63.0,729.0,1.0,12.0
Peter  Welch,1947-05-02,05-02,M,rep,2007-01-04,2009-01-03,VT,,0.0,Democrat,,Taurus,59.0,59.0,61.0,61.0,730.0,2.0,0.0
Joe G. Wilson,1947-07-31,07-31,M,rep,2001-12-18,2003-01-03,SC,,2.0,Republican,,Leo,54.0,54.0,55.0,55.0,381.0,1.0,0.0
Frederica S. Wilson,1942-11-05,11-05,F,rep,2011-01-05,2013-01-03,FL,,17.0,Democrat,,Scorpio,68.0,68.0,70.0,70.0,729.0,1.0,12.0
Robert J. Wittman,1959-02-03,02-03,M,rep,2007-12-13,2009-01-03,VA,,1.0,Republican,,Aquarius,48.0,48.0,49.0,49.0,387.0,1.0,0.0
Steve  Womack,1957-02-18,02-18,M,rep,2011-01-05,2013-01-03,AR,,3.0,Republican,,Aquarius,53.0,53.0,55.0,55.0,729.0,1.0,12.0
Ron  Wyden,1949-05-03,05-03,M,rep,1981-01-05,1983-01-03,OR,,3.0,Democrat,,Taurus,31.0,31.0,33.0,33.0,728.0,1.0,12.0
Todd C. Young,1972-08-24,08-24,M,rep,2011-01-05,2013-01-03,IN,,9.0,Republican,,Virgo,38.0,38.0,40.0,40.0,729.0,1.0,12.0
Mark E. Amodei,1958-06-12,06-12,M,rep,2011-09-13,2013-01-03,NV,,2.0,Republican,,Gemini,53.0,53.0,54.0,54.0,478.0,1.0,3.0
Suzanne  Bonamici,1954-10-14,10-14,F,rep,2012-02-07,2013-01-03,OR,,1.0,Democrat,,Libra,57.0,57.0,58.0,58.0,331.0,0.0,11.0
Suzan K. DelBene,1962-02-17,02-17,F,rep,2012-11-13,2013-01-03,WA,,1.0,Democrat,,Aquarius,50.0,50.0,50.0,50.0,51.0,0.0,1.0
Thomas  Massie,1971-01-13,01-13,M,rep,2012-11-13,2013-01-03,KY,,4.0,Republican,,Capricorn,41.0,41.0,42.0,42.0,51.0,0.0,1.0
Brian Emanuel Schatz,1972-10-20,10-20,M,sen,2012-12-27,2015-01-03,HI,3.0,,Democrat,appointment,Libra,40.0,40.0,42.0,42.0,737.0,2.0,0.0
Bill  Foster,1955-10-07,10-07,M,rep,2008-03-08,2009-01-03,IL,,14.0,Democrat,,Libra,52.0,52.0,53.0,53.0,301.0,0.0,10.0
Dina  Titus,1950-05-23,05-23,F,rep,2009-01-06,2011-01-03,NV,,3.0,Democrat,,Gemini,58.0,58.0,60.0,60.0,727.0,1.0,12.0
Tom  Cotton,1977-05-13,05-13,M,rep,2013-01-03,2015-01-03,AR,,4.0,Republican,,Taurus,35.0,35.0,37.0,37.0,730.0,2.0,0.0
Doug  LaMalfa,1960-07-02,07-02,M,rep,2013-01-03,2015-01-03,CA,,1.0,Republican,,Cancer,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Jared  Huffman,1964-02-18,02-18,M,rep,2013-01-03,2015-01-03,CA,,2.0,Democrat,,Aquarius,48.0,48.0,50.0,50.0,730.0,2.0,0.0
Ami  Bera,1965-03-02,03-02,M,rep,2013-01-03,2015-01-03,CA,,7.0,Democrat,,Pisces,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Eric  Swalwell,1980-11-16,11-16,M,rep,2013-01-03,2015-01-03,CA,,15.0,Democrat,,Scorpio,32.0,32.0,34.0,34.0,730.0,2.0,0.0
Julia  Brownley,1952-08-28,08-28,F,rep,2013-01-03,2015-01-03,CA,,26.0,Democrat,,Virgo,60.0,60.0,62.0,62.0,730.0,2.0,0.0
Raul  Ruiz,1972-08-25,08-25,M,rep,2013-01-03,2015-01-03,CA,,36.0,Democrat,,Virgo,40.0,40.0,42.0,42.0,730.0,2.0,0.0
Mark  Takano,1960-12-10,12-10,M,rep,2013-01-03,2015-01-03,CA,,41.0,Democrat,,Sagittarius,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Juan  Vargas,1961-03-07,03-07,M,rep,2013-01-03,2015-01-03,CA,,51.0,Democrat,,Pisces,51.0,51.0,53.0,53.0,730.0,2.0,0.0
Scott H. Peters,1958-06-17,06-17,M,rep,2013-01-03,2015-01-03,CA,,52.0,Democrat,,Gemini,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Lois  Frankel,1948-05-16,05-16,F,rep,2013-01-03,2015-01-03,FL,,22.0,Democrat,,Taurus,64.0,64.0,66.0,66.0,730.0,2.0,0.0
