full_name,birthdate,type,start_term,end_term,age_start,age_end,duration_years_months_days,total_duration_years
Henry Agard Wallace,1888-10-07,viceprez,1941-01-20,1945-01-20,52,56,"4 years, 0 months, 0 days",4.0
Franklin Delano Roosevelt,1882-01-30,prez,1933-03-04,1937-01-20,51,54,"3 years, 10 months, 16 days",3.88
Franklin Delano Roosevelt,1882-01-30,prez,1937-01-20,1941-01-20,54,58,"4 years, 0 months, 0 days",4.0
Franklin Delano Roosevelt,1882-01-30,prez,1941-01-20,1945-01-20,58,62,"4 years, 0 months, 0 days",4.0
Franklin Delano Roosevelt,1882-01-30,prez,1945-01-20,1945-04-12,62,63,"0 years, 2 months, 23 days",0.22
Alben William Barkley,1877-11-24,viceprez,1949-01-20,1953-01-20,71,75,"4 years, 0 months, 0 days",4.0
Harry S. Truman,1884-05-08,viceprez,1945-01-20,1945-04-12,60,60,"0 years, 2 months, 23 days",0.22
Harry S. Truman,1884-05-08,prez,1945-04-12,1949-01-20,60,64,"3 years, 9 months, 8 days",3.78
Harry S. Truman,1884-05-08,prez,1949-01-20,1953-01-20,64,68,"4 years, 0 months, 0 days",4.0
Dwight David Eisenhower,1890-10-14,prez,1953-01-20,1957-01-20,62,66,"4 years, 0 months, 0 days",4.0
Dwight David Eisenhower,1890-10-14,prez,1957-01-20,1961-01-20,66,70,"4 years, 0 months, 0 days",4.0
John Fitzgerald Kennedy,1917-05-29,prez,1961-01-20,1963-11-22,43,46,"2 years, 10 months, 2 days",2.84
Hubert Horatio Humphrey Jr.,1911-05-27,viceprez,1965-01-20,1969-01-20,53,57,"4 years, 0 months, 0 days",4.0
Lyndon Baines Johnson,1908-08-27,viceprez,1961-01-20,1963-11-22,52,55,"2 years, 10 months, 2 days",2.84
Lyndon Baines Johnson,1908-08-27,prez,1963-11-22,1965-01-20,55,56,"1 year, 1 month, 29 days",1.16
Lyndon Baines Johnson,1908-08-27,prez,1965-01-20,1969-01-20,56,60,"4 years, 0 months, 0 days",4.0
Spiro Theodore Agnew,1918-11-09,viceprez,1969-01-20,1973-01-20,50,54,"4 years, 0 months, 0 days",4.0
Spiro Theodore Agnew,1918-11-09,viceprez,1973-01-20,1973-10-10,54,54,"0 years, 8 months, 20 days",0.72
Richard Milhous Nixon,1913-01-09,viceprez,1953-01-20,1957-01-20,40,44,"4 years, 0 months, 0 days",4.0
Richard Milhous Nixon,1913-01-09,viceprez,1957-01-20,1961-01-20,44,48,"4 years, 0 months, 0 days",4.0
Richard Milhous Nixon,1913-01-09,prez,1969-01-20,1973-01-20,56,60,"4 years, 0 months, 0 days",4.0
Richard Milhous Nixon,1913-01-09,prez,1973-01-20,1974-08-09,60,61,"1 year, 6 months, 20 days",1.55
Gerald Rudolph Ford Jr.,1913-07-14,viceprez,1973-12-06,1974-08-09,60,61,"0 years, 8 months, 3 days",0.67
Gerald Rudolph Ford Jr.,1913-07-14,prez,1974-08-09,1977-01-20,61,63,"2 years, 5 months, 11 days",2.45
Nelson Aldrich Rockefeller,1908-07-08,viceprez,1974-12-19,1977-01-20,66,68,"2 years, 1 month, 1 day",2.09
Walter Frederick Mondale,1928-01-05,viceprez,1977-01-20,1981-01-20,49,53,"4 years, 0 months, 0 days",4.0
"James ""Jimmy"" Earl Carter",1924-10-01,prez,1977-01-20,1981-01-20,52,56,"4 years, 0 months, 0 days",4.0
Ronald Wilson Reagan,1911-02-06,prez,1981-01-20,1985-01-20,69,73,"4 years, 0 months, 0 days",4.0
Ronald Wilson Reagan,1911-02-06,prez,1985-01-20,1989-01-20,73,77,"4 years, 0 months, 0 days",4.0
"James ""Dan"" Danforth Quayle",1947-02-04,viceprez,1989-01-20,1993-01-20,41,45,"4 years, 0 months, 0 days",4.0
George Herbert Walker Bush,1924-06-12,viceprez,1981-01-20,1985-01-20,56,60,"4 years, 0 months, 0 days",4.0
George Herbert Walker Bush,1924-06-12,viceprez,1985-01-20,1989-01-20,60,64,"4 years, 0 months, 0 days",4.0
George Herbert Walker Bush,1924-06-12,prez,1989-01-20,1993-01-20,64,68,"4 years, 0 months, 0 days",4.0
"Albert ""Al"" Arnold Gore Jr.",1948-03-31,viceprez,1993-01-20,1997-01-20,44,48,"4 years, 0 months, 0 days",4.0
"Albert ""Al"" Arnold Gore Jr.",1948-03-31,viceprez,1997-01-20,2001-01-20,48,52,"4 years, 0 months, 0 days",4.0
"William ""Bill"" Jefferson Clinton",1946-08-19,prez,1993-01-20,1997-01-20,46,50,"4 years, 0 months, 0 days",4.0
"William ""Bill"" Jefferson Clinton",1946-08-19,prez,1997-01-20,2001-01-20,50,54,"4 years, 0 months, 0 days",4.0
"Richard ""Dick"" Bruce Cheney",1941-01-30,viceprez,2001-01-20,2005-01-20,59,63,"4 years, 0 months, 0 days",4.0
"Richard ""Dick"" Bruce Cheney",1941-01-30,viceprez,2005-01-20,2009-01-20,63,67,"4 years, 0 months, 0 days",4.0
George Walker Bush,1946-07-06,prez,2001-01-20,2005-01-20,54,58,"4 years, 0 months, 0 days",4.0
George Walker Bush,1946-07-06,prez,2005-01-20,2009-01-20,58,62,"4 years, 0 months, 0 days",4.0
"Joseph ""Joe"" Robinette Biden Jr.",1942-11-20,viceprez,2009-01-20,2013-01-20,66,70,"4 years, 0 months, 0 days",4.0
"Joseph ""Joe"" Robinette Biden Jr.",1942-11-20,viceprez,2013-01-20,2017-01-20,70,74,"4 years, 0 months, 0 days",4.0
"Joseph ""Joe"" Robinette Biden Jr.",1942-11-20,prez,2021-01-20,2025-01-20,78,82,"4 years, 0 months, 0 days",4.0
Barack Hussein Obama,1961-08-04,prez,2009-01-20,2013-01-20,47,51,"4 years, 0 months, 0 days",4.0
Barack Hussein Obama,1961-08-04,prez,2013-01-20,2017-01-20,51,55,"4 years, 0 months, 0 days",4.0
Mike Pence,1959-06-07,viceprez,2017-01-20,2021-01-20,57,61,"4 years, 0 months, 0 days",4.0
Donald J. Trump,1946-06-14,prez,2017-01-20,2021-01-20,70,74,"4 years, 0 months, 0 days",4.0
Donald J. Trump,1946-06-14,prez,2025-01-20,2029-01-20,78,82,"4 years, 0 months, 0 days",4.0
Kamala D. Harris,1964-10-20,viceprez,2021-01-20,2025-01-20,56,60,"4 years, 0 months, 0 days",4.0
"James David ""J.D."" Vance",1984-08-02,viceprez,2025-01-20,2029-01-20,40,44,"4 years, 0 months, 0 days",4.0
