id,name,bio,terms
"{'bioguide': 'C000044', 'govtrack': 402205, 'icpsr': 1418}","{'first': 'John', 'middle': 'Caldwell', 'last': 'Calhoun'}","{'birthday': '1782-03-18', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1825-03-04', 'end': '1829-03-04', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1829-03-04', 'end': '1832-12-28', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'J000005', 'govtrack': 405913, 'icpsr': 4843, 'icpsr_prez': 99875}","{'first': 'Andrew', 'last': 'Jackson'}","{'birthday': '1767-03-15', 'gender': 'M'}","[{'type': 'prez', 'start': '1829-03-04', 'end': '1833-03-04', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1833-03-04', 'end': '1837-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'J000170', 'govtrack': 406067, 'icpsr': 4988}","{'first': 'Richard', 'middle': 'Mentor', 'last': 'Johnson'}","{'birthday': '1780-10-17', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1837-03-04', 'end': '1841-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'V000009', 'govtrack': 411074, 'icpsr': 9595, 'icpsr_prez': 99876}","{'first': 'Martin', 'last': 'Van Buren'}","{'birthday': '1782-12-05', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1833-03-04', 'end': '1837-03-04', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1837-03-04', 'end': '1841-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'H000279', 'govtrack': 405153, 'icpsr': 4138, 'icpsr_prez': 99877}","{'first': 'William', 'middle': 'Henry', 'last': 'Harrison'}","{'birthday': '1773-02-09', 'gender': 'M'}","[{'type': 'prez', 'start': '1841-03-04', 'end': '1841-04-04', 'party': 'Whig', 'how': 'election'}]"
"{'bioguide': 'T000450', 'govtrack': 411018, 'icpsr': 9542, 'icpsr_prez': 99878}","{'first': 'John', 'last': 'Tyler'}","{'birthday': '1790-03-29', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1841-03-04', 'end': '1841-04-04', 'party': 'Whig', 'how': 'election'}, {'type': 'prez', 'start': '1841-04-04', 'end': '1845-03-04', 'party': 'Whig', 'how': 'succession'}]"
"{'bioguide': 'D000011', 'govtrack': 403154, 'icpsr': 2305}","{'first': 'George', 'middle': 'Mifflin', 'last': 'Dallas'}","{'birthday': '1792-07-10', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1845-03-04', 'end': '1849-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'P000409', 'govtrack': 408802, 'icpsr': 7507, 'icpsr_prez': 99879}","{'first': 'James', 'middle': 'Knox', 'last': 'Polk'}","{'birthday': '1795-11-02', 'gender': 'M'}","[{'type': 'prez', 'start': '1845-03-04', 'end': '1849-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412344, 'icpsr_prez': 99880}","{'first': 'Zachary', 'last': 'Taylor'}","{'birthday': '1784-11-24', 'gender': 'M'}","[{'type': 'prez', 'start': '1849-03-04', 'end': '1850-07-09', 'party': 'Whig', 'how': 'election'}]"
"{'bioguide': 'F000115', 'govtrack': 404072, 'icpsr': 3140, 'icpsr_prez': 99881}","{'first': 'Millard', 'last': 'Fillmore'}","{'birthday': '1800-01-07', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1849-03-04', 'end': '1850-07-09', 'party': 'Whig', 'how': 'election'}, {'type': 'prez', 'start': '1850-07-09', 'end': '1853-03-04', 'party': 'Whig', 'how': 'succession'}]"
"{'bioguide': 'K000217', 'govtrack': 406377, 'icpsr': 5275}","{'first': 'William', 'middle': 'Rufus de Vane', 'last': 'King'}","{'birthday': '1786-04-07', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1853-03-04', 'end': '1853-04-18', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'P000333', 'govtrack': 408730, 'icpsr': 7435, 'icpsr_prez': 99882}","{'first': 'Franklin', 'last': 'Pierce'}","{'birthday': '1804-11-23', 'gender': 'M'}","[{'type': 'prez', 'start': '1853-03-04', 'end': '1857-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'B000789', 'govtrack': 401746, 'icpsr': 995, 'icpsr_prez': 99883}","{'first': 'John', 'middle': 'Cabell', 'last': 'Breckinridge'}","{'birthday': '1821-01-16', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1857-03-04', 'end': '1861-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'B001005', 'govtrack': 401954, 'icpsr': 1186, 'icpsr_prez': 99883}","{'first': 'James', 'last': 'Buchanan'}","{'birthday': '1791-04-23', 'gender': 'M'}","[{'type': 'prez', 'start': '1857-03-04', 'end': '1861-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'H000121', 'govtrack': 405003, 'icpsr': 4001}","{'first': 'Hannibal', 'last': 'Hamlin'}","{'birthday': '1809-08-27', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1861-03-04', 'end': '1865-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'L000313', 'govtrack': 406807, 'icpsr': 5666, 'icpsr_prez': 99884}","{'first': 'Abraham', 'last': 'Lincoln'}","{'birthday': '1809-02-12', 'gender': 'M'}","[{'type': 'prez', 'start': '1861-03-04', 'end': '1865-03-04', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1865-03-04', 'end': '1865-04-15', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'J000116', 'govtrack': 406017, 'icpsr': 4940, 'icpsr_prez': 99885}","{'first': 'Andrew', 'last': 'Johnson'}","{'birthday': '1808-12-29', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1865-03-04', 'end': '1865-04-15', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1865-04-15', 'end': '1869-03-04', 'party': 'Democrat', 'how': 'succession'}]"
"{'bioguide': 'C000626', 'govtrack': 402755, 'icpsr': 1938}","{'first': 'Schuyler', 'last': 'Colfax'}","{'birthday': '1823-03-23', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1869-03-04', 'end': '1873-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'W000585', 'govtrack': 411739, 'icpsr': 10225}","{'first': 'Henry', 'last': 'Wilson'}","{'birthday': '1812-02-16', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1873-03-04', 'end': '1875-11-22', 'party': 'Republican', 'how': 'election'}]"
"{'govtrack': 412350, 'icpsr_prez': 99886}","{'first': 'Ulysses', 'middle': 'Simpson', 'last': 'Grant'}","{'birthday': '1822-04-27', 'gender': 'M'}","[{'type': 'prez', 'start': '1869-03-04', 'end': '1873-03-04', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1873-03-04', 'end': '1877-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'W000341', 'govtrack': 411503, 'icpsr': 9995}","{'first': 'William', 'middle': 'Almon', 'last': 'Wheeler'}","{'birthday': '1819-06-30', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1877-03-04', 'end': '1881-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'H000393', 'govtrack': 405261, 'icpsr': 4232, 'icpsr_prez': 99887}","{'first': 'Rutherford', 'middle': 'Birchard', 'last': 'Hayes'}","{'birthday': '1822-10-04', 'gender': 'M'}","[{'type': 'prez', 'start': '1877-03-04', 'end': '1881-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'G000063', 'govtrack': 404436, 'icpsr': 3473, 'icpsr_prez': 99888}","{'first': 'James', 'middle': 'Abram', 'last': 'Garfield'}","{'birthday': '1831-11-19', 'gender': 'M'}","[{'type': 'prez', 'start': '1881-03-04', 'end': '1881-09-19', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'A000303', 'govtrack': 400945, 'icpsr_prez': 99889}","{'first': 'Chester', 'middle': 'Alan', 'last': 'Arthur'}","{'birthday': '1829-10-05', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1881-03-04', 'end': '1881-09-19', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1881-09-19', 'end': '1885-03-04', 'party': 'Republican', 'how': 'succession'}]"
"{'bioguide': 'H000493', 'govtrack': 405356, 'icpsr': 4319}","{'first': 'Thomas', 'middle': 'Andrews', 'last': 'Hendricks'}","{'birthday': '1819-09-07', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1885-03-04', 'end': '1885-11-25', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'M001018', 'govtrack': 407985, 'icpsr': 6742}","{'first': 'Levi', 'middle': 'Parsons', 'last': 'Morton'}","{'birthday': '1824-05-16', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1889-03-04', 'end': '1893-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'H000263', 'govtrack': 405139, 'icpsr': 4124, 'icpsr_prez': 99891}","{'first': 'Benjamin', 'last': 'Harrison'}","{'birthday': '1833-08-20', 'gender': 'M'}","[{'type': 'prez', 'start': '1889-03-04', 'end': '1893-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'S000889', 'govtrack': 410350, 'icpsr': 8918}","{'first': 'Adlai', 'middle': 'Ewing', 'last': 'Stevenson'}","{'birthday': '1835-10-23', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1893-03-04', 'end': '1897-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412354, 'icpsr_prez': 99890}","{'first': 'Grover', 'last': 'Cleveland'}","{'birthday': '1837-03-18', 'gender': 'M'}","[{'type': 'prez', 'start': '1885-03-04', 'end': '1889-03-04', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1893-03-04', 'end': '1897-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'H000660', 'govtrack': 412589}","{'first': 'Garret', 'middle': 'Augustus', 'last': 'Hobart'}","{'birthday': '1844-06-03', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1897-03-04', 'end': '1899-11-21', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'M000522', 'govtrack': 407515, 'icpsr': 6312, 'icpsr_prez': 99892}","{'first': 'William', 'last': 'McKinley', 'suffix': 'Jr.'}","{'birthday': '1843-01-29', 'gender': 'M'}","[{'type': 'prez', 'start': '1897-03-04', 'end': '1901-03-04', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1901-03-04', 'end': '1901-09-14', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'F000003', 'govtrack': 403965, 'icpsr': 3046}","{'first': 'Charles', 'middle': 'Warren', 'last': 'Fairbanks'}","{'birthday': '1852-05-11', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1905-03-04', 'end': '1909-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'R000429', 'govtrack': 409394, 'icpsr_prez': 99893}","{'first': 'Theodore', 'last': 'Roosevelt'}","{'birthday': '1858-10-27', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1901-03-04', 'end': '1901-09-14', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1901-09-14', 'end': '1905-03-04', 'party': 'Republican', 'how': 'succession'}, {'type': 'prez', 'start': '1905-03-04', 'end': '1909-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'S000345', 'govtrack': 409841, 'icpsr': 8453}","{'first': 'James', 'middle': 'Schoolcraft', 'last': 'Sherman'}","{'birthday': '1855-10-24', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1909-03-04', 'end': '1912-10-30', 'party': 'Republican', 'how': 'election'}]"
"{'govtrack': 412359, 'icpsr_prez': 99894}","{'first': 'William', 'middle': 'Howard', 'last': 'Taft'}","{'birthday': '1857-09-15', 'gender': 'M'}","[{'type': 'prez', 'start': '1909-03-04', 'end': '1913-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'M000164', 'govtrack': 412590}","{'first': 'Thomas', 'middle': 'Riley', 'last': 'Marshall'}","{'birthday': '1854-03-14', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1913-03-04', 'end': '1917-03-04', 'party': 'Democrat', 'how': 'election'}, {'type': 'viceprez', 'start': '1917-03-04', 'end': '1921-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412360, 'icpsr_prez': 99895}","{'first': 'Woodrow', 'last': 'Wilson'}","{'birthday': '1856-12-28', 'gender': 'M'}","[{'type': 'prez', 'start': '1913-03-04', 'end': '1917-03-04', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1917-03-04', 'end': '1921-03-04', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'H000192', 'govtrack': 405073, 'icpsr': 4059, 'icpsr_prez': 99896}","{'first': 'Warren', 'middle': 'Gamaliel', 'last': 'Harding'}","{'birthday': '1865-11-02', 'gender': 'M'}","[{'type': 'prez', 'start': '1921-03-04', 'end': '1923-08-02', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'D000147', 'govtrack': 412591}","{'first': 'Charles', 'middle': 'Gates', 'last': 'Dawes'}","{'birthday': '1865-08-27', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1925-03-04', 'end': '1929-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'C000738', 'govtrack': 402859, 'icpsr_prez': 99897}","{'first': 'Calvin', 'last': 'Coolidge'}","{'birthday': '1872-07-04', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1921-03-04', 'end': '1923-08-02', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1923-08-02', 'end': '1925-03-04', 'party': 'Republican', 'how': 'succession'}, {'type': 'prez', 'start': '1925-03-04', 'end': '1929-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'C001008', 'govtrack': 403115, 'icpsr': 2269}","{'first': 'Charles', 'last': 'Curtis'}","{'birthday': '1860-01-25', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1929-03-04', 'end': '1933-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'govtrack': 412363, 'icpsr_prez': 99898}","{'first': 'Herbert', 'middle': 'Clark', 'last': 'Hoover'}","{'birthday': '1874-08-10', 'gender': 'M'}","[{'type': 'prez', 'start': '1929-03-04', 'end': '1933-03-04', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'G000074', 'govtrack': 404446, 'icpsr': 3482}","{'first': 'John', 'middle': 'Nance', 'last': 'Garner'}","{'birthday': '1868-11-22', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1933-03-04', 'end': '1937-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'viceprez', 'start': '1937-01-20', 'end': '1941-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'W000077', 'govtrack': 412592}","{'first': 'Henry', 'middle': 'Agard', 'last': 'Wallace'}","{'birthday': '1888-10-07', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1941-01-20', 'end': '1945-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412364, 'icpsr_prez': 99899}","{'first': 'Franklin', 'middle': 'Delano', 'last': 'Roosevelt'}","{'birthday': '1882-01-30', 'gender': 'M'}","[{'type': 'prez', 'start': '1933-03-04', 'end': '1937-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1937-01-20', 'end': '1941-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1941-01-20', 'end': '1945-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1945-01-20', 'end': '1945-04-12', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'B000145', 'govtrack': 401146, 'icpsr': 437}","{'first': 'Alben', 'middle': 'William', 'last': 'Barkley'}","{'birthday': '1877-11-24', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1949-01-20', 'end': '1953-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'T000387', 'govtrack': 410956, 'icpsr': 9487, 'icpsr_prez': 99900}","{'first': 'Harry', 'middle': 'S.', 'last': 'Truman'}","{'birthday': '1884-05-08', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1945-01-20', 'end': '1945-04-12', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1945-04-12', 'end': '1949-01-20', 'party': 'Democrat', 'how': 'succession'}, {'type': 'prez', 'start': '1949-01-20', 'end': '1953-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412366, 'icpsr_prez': 99901}","{'first': 'Dwight', 'middle': 'David', 'last': 'Eisenhower'}","{'birthday': '1890-10-14', 'gender': 'M'}","[{'type': 'prez', 'start': '1953-01-20', 'end': '1957-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1957-01-20', 'end': '1961-01-20', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'K000107', 'govtrack': 406274, 'icpsr': 5180, 'icpsr_prez': 99902}","{'first': 'John', 'middle': 'Fitzgerald', 'last': 'Kennedy'}","{'birthday': '1917-05-29', 'gender': 'M'}","[{'type': 'prez', 'start': '1961-01-20', 'end': '1963-11-22', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'H000953', 'thomas': '01366', 'govtrack': 405797, 'icpsr': 4728}","{'first': 'Hubert', 'middle': 'Horatio', 'last': 'Humphrey', 'suffix': 'Jr.'}","{'birthday': '1911-05-27', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1965-01-20', 'end': '1969-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'J000160', 'govtrack': 406058, 'icpsr': 4979, 'icpsr_prez': 99903}","{'first': 'Lyndon', 'middle': 'Baines', 'last': 'Johnson'}","{'birthday': '1908-08-27', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1961-01-20', 'end': '1963-11-22', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1963-11-22', 'end': '1965-01-20', 'party': 'Democrat', 'how': 'succession'}, {'type': 'prez', 'start': '1965-01-20', 'end': '1969-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'A000059', 'govtrack': 412593}","{'first': 'Spiro', 'middle': 'Theodore', 'last': 'Agnew'}","{'birthday': '1918-11-09', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1969-01-20', 'end': '1973-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1973-01-20', 'end': '1973-10-10', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'N000116', 'govtrack': 408200, 'icpsr': 6939, 'icpsr_prez': 99904}","{'first': 'Richard', 'middle': 'Milhous', 'last': 'Nixon'}","{'birthday': '1913-01-09', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1953-01-20', 'end': '1957-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1957-01-20', 'end': '1961-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1969-01-20', 'end': '1973-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1973-01-20', 'end': '1974-08-09', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'F000260', 'thomas': '00399', 'govtrack': 404212, 'icpsr': 3268, 'icpsr_prez': 99905}","{'first': 'Gerald', 'middle': 'Rudolph', 'last': 'Ford', 'suffix': 'Jr.'}","{'birthday': '1913-07-14', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1973-12-06', 'end': '1974-08-09', 'party': 'Republican', 'how': 'appointment'}, {'type': 'prez', 'start': '1974-08-09', 'end': '1977-01-20', 'party': 'Republican', 'how': 'succession'}]"
"{'bioguide': 'R000363', 'govtrack': 412594}","{'first': 'Nelson', 'middle': 'Aldrich', 'last': 'Rockefeller'}","{'birthday': '1908-07-08', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1974-12-19', 'end': '1977-01-20', 'party': 'Republican', 'how': 'appointment'}]"
"{'bioguide': 'M000851', 'thomas': '01402', 'govtrack': 407824, 'icpsr': 10813}","{'first': 'Walter', 'middle': 'Frederick', 'last': 'Mondale'}","{'birthday': '1928-01-05', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1977-01-20', 'end': '1981-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412371, 'icpsr_prez': 99906}","{'first': 'James', 'middle': 'Earl', 'last': 'Carter', 'nickname': 'Jimmy'}","{'birthday': '1924-10-01', 'gender': 'M'}","[{'type': 'prez', 'start': '1977-01-20', 'end': '1981-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412372, 'icpsr_prez': 99907}","{'first': 'Ronald', 'middle': 'Wilson', 'last': 'Reagan'}","{'birthday': '1911-02-06', 'gender': 'M'}","[{'type': 'prez', 'start': '1981-01-20', 'end': '1985-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1985-01-20', 'end': '1989-01-20', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'Q000007', 'thomas': '00935', 'govtrack': 408970, 'icpsr': 14447}","{'first': 'James', 'middle': 'Danforth', 'last': 'Quayle', 'nickname': 'Dan'}","{'birthday': '1947-02-04', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1989-01-20', 'end': '1993-01-20', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'B001166', 'govtrack': 402108, 'icpsr': 11008, 'icpsr_prez': 99908}","{'first': 'George', 'middle': 'Herbert Walker', 'last': 'Bush'}","{'birthday': '1924-06-12', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1981-01-20', 'end': '1985-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1985-01-20', 'end': '1989-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'prez', 'start': '1989-01-20', 'end': '1993-01-20', 'party': 'Republican', 'how': 'election'}]"
"{'bioguide': 'G000321', 'thomas': '00449', 'lis': 'S170', 'govtrack': 404679, 'icpsr': 14423}","{'first': 'Albert', 'middle': 'Arnold', 'last': 'Gore', 'suffix': 'Jr.', 'nickname': 'Al'}","{'birthday': '1948-03-31', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1993-01-20', 'end': '1997-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'viceprez', 'start': '1997-01-20', 'end': '2001-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'govtrack': 412374, 'icpsr_prez': 99909}","{'first': 'William', 'middle': 'Jefferson', 'last': 'Clinton', 'nickname': 'Bill'}","{'birthday': '1946-08-19', 'gender': 'M'}","[{'type': 'prez', 'start': '1993-01-20', 'end': '1997-01-20', 'party': 'Democrat', 'how': 'election'}, {'type': 'prez', 'start': '1997-01-20', 'end': '2001-01-20', 'party': 'Democrat', 'how': 'election'}]"
"{'bioguide': 'C000344', 'thomas': '00193', 'govtrack': 402484, 'icpsr': 14611, 'wikidata': 'Q48259', 'wikipedia': 'Dick Cheney', 'cspan': 9801}","{'first': 'Richard', 'middle': 'Bruce', 'last': 'Cheney', 'nickname': 'Dick'}","{'birthday': '1941-01-30', 'gender': 'M'}","[{'type': 'viceprez', 'start': '2001-01-20', 'end': '2005-01-20', 'party': 'Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '2005-01-20', 'end': '2009-01-20', 'party': 'Republican', 'how': 'election'}]"
